Nr;Naam;Brouwerij;Kleur;alcohol
370;Le Pav‚ de l Ours ;La Binchoise;;8,5
371;Leffe Trippel ;Brasserie du Bocq;;7
372;Leroy Stout ;Het Sas/Leroy;;5,3
373;Leuvens Witbier ;Domus;;4,5
681;Li Crochon blonde ;Brasserie du Bocq;Blond;6,5
682;Li Crochon brune ;Brasserie du Bocq;Bruin;9
374;Lichtaarts Kwezel ;Lefebvre;;7
375;Liefmans Frambozen ;Liefmans;;5,5
376;Liefmans Goudenband ;Liefmans;Donkerbruin;6,5
377;Liefmans Kriek ;Liefmans;Roodachtig-bruin;7,2
378;Liefmans oud bruin ;Liefmans;Donkerbruin;5,2
379;Liezelse Witte ;Vieille Villers;;5,2
380;Loburg ;Artois;Blond;5,2
381;Loebas ;Callewaert;Bruin;8
382;Loteling donker ;Vieille-Villers;Donker;8
383;Loteling licht ;Vieille-Villers;Lichtbruin;8
384;Lowie Kators/Malmedy blonde ;Brasserie d Achouffe;Blond;8
385;Lucifer ;Riva;Blond;8,5
386;Luxem ;Maire;Amber;5,5
387;Mackeson Stout ;Martinas;;4,5
388;Maes Pils ;Maes;Light;5,1
389;Mai-Bock ;Piedboeuf;Blond;6,1
390;Malm‚dy brune ;Brasserie d Achouffe;Bruin;8
391;Maltosa ;Haacht;;1,4
392;Marckloff ;La Ferme au Chˆne;;6,5
393;Maroussesous 10 ;Moortgat;;9,5
394;Maroussesous 6 ;Moortgat;Bruin;7,5
395;Maroussesous 8 ;Moortgat;Donkerbruin;8,2
396;Maroussesous 9 ;Moortgat;Donkerbruin;8,9
397;Martzen bier ;Contreras;Amber;5,2
398;McChouffe ;Brasserie d Achouffe;Bruin;8,8
399;McEwan's Christmas Ale ;Piedboeuf;Donker;8,35
400;McEwan's Scotch Ale ;Piedboeuf;Donker;7,2
401;Mechelschen Bruynen ;Het Anker;Bruin;6,5
402;Meibok ;Domus;;7
403;Mill s Extra Stout ;Haacht;;5
404;Mill s Pale Ale ;Haacht;;4,8
405;Mill s Scotch ;Haacht;;6,5
406;Minty ;Huyghe;;4,7
407;Moeder Overste ;Lefebvre;;8
408;Moinette Biologique ;Dupont;;5,5
409;Mort Subite Cassis ;De Keersmaeker;;4
410;Mort Subite Framboos ;De Keersmaeker;;4
411;Mort Subite Perzik ;De Keersmaeker;;4
412;Myn's pils ;Brasserie de Silly;Blond;5
413;Myrtille ;Lindemans;;
414;Napoleon ;De Smedt;Donker;6,5
415;Ne Flierefluiter ;De Smedt;;6,7
416;Neyt Export ;Neyt;Blond;5
417;Neyt Pils ;Neyt;Blond;5
680;Nostradamus ;La Caracole;Bruin;9,5
418;Notger ;Piedboeuf;;
419;Nounou ;Bios;;6,4
420;Oerbier ;De Dolle Brouwers;Roodachtig;7,5
421;Ops-ale ;Sint-Jozef;Helder;5,2
422;Orval ;Brasserie d Orval;Amber;6,5
423;Oud bier Blond ;Strubbe;Blond;
424;Oud bier Bruin ;Strubbe;Bruin;
425;Oud Bruin ;Facon;Bruin;5
426;Oud Hell ;Slaghmuylder;;
427;Oud Kriekenbier ;Cromb‚;Roodachtig;6,2
428;Oud Zottegems bier ;Cromb‚;Bruin;6,5
429;Ouden Bruin ;Facon;Bruin;2
430;Ouden bruinen ;Verhaeghe;;
431;Ouden Tripel ;Bockor (Vanderghinste);Donkerbruin;5,8
432;Oudenaards Bruin ;Cnudde;Bruin;5
433;Oudenaards Wit Tarwebier ;Clarysse;;5
434;Paas Kriek ;Domus;;7
435;Paasbier ;Slaghmuylder;Blond;5,2
436;Paling ;Eylenbosch;Bruin;8
437;Palm Green ;Palm;;0,25
438;Pater Bruine ;Haacht;Bruin;1,4
439;Pater Lieven ;Van Den Bossche;Amber;5,4
701;Patersvat - Affligem ;De Smedt;Blond;7
440;Paulus ;Het Sas/Leroy;;5
441;Pauwel Kwak ;Bosteels;Lichtbruin;9,5
442;Pax-pils ;Sint-Jozef;Heldern;5,1
443;Pˆche-Lambiek St.-Louis ;Van Honsebrouck;;3,5
444;Pˆcheresse ;Lindemans;;
445;Pee Klak ;Strubbe;;5,4
446;Peeterman ;De Kluis;;5
447;Perzikbier ;De Neve;;5,3
448;Perziken bier ;Timmermans;;4
449;Peter Benoit ;Het Sas/Leroy;Blond;6
450;Petrus ;Bavik;Donkerbruin;4,5
451;Pick-up ;Walrave;Blond;4,6
452;Piedboeuf Blonde ;Piedboeuf;Blond;
453;Piedboeuf Fonc‚e ;Piedboeuf;;
454;Piedboeuf Triple ;Piedboeuf;Blond;
455;Pils ;Callewaert;;4,7
456;Pils Artisanale ;Lefebvre;Blond;5
457;Pilsen bleek-bruin ;Facon;Lichtbruin;2
458;Piraat ;Bios;;11
689;Poiluchette blonde (la) ;Huyghe;Blond;7,5
